id,food_name,classification,rewritten_name,cached_at
3249,Vegan iodine supplement (potassium iodide),vegan,,2026-05-26T01:51:59.358237+00:00
3250,Vegan choline supplement (bitartrate),vegan,,2026-05-26T01:51:59.358442+00:00
3251,"Soybeans, dried",vegan,,2026-05-26T01:51:59.358569+00:00
3252,"Pumpkin seeds, dried",vegan,,2026-05-26T01:51:59.358680+00:00
3253,Seitan (vital wheat gluten),vegan,,2026-05-26T01:51:59.358802+00:00
3254,"Peanuts, raw",vegan,,2026-05-26T01:51:59.358941+00:00
3255,"Tofu, firm",vegan,,2026-05-26T01:51:59.359046+00:00
3256,Iodized salt,vegan,,2026-05-26T01:51:59.359148+00:00
3257,Vegan vitamin A supplement (retinyl palmitate),vegan,,2026-05-26T01:51:59.364468+00:00
3258,Vegan vitamin C supplement (ascorbic acid),vegan,,2026-05-26T01:51:59.364634+00:00
3259,Vegan vitamin E supplement (alpha-tocopherol),vegan,,2026-05-26T01:51:59.364749+00:00
3260,Vegan vitamin K supplement (phytonadione),vegan,,2026-05-26T01:51:59.364855+00:00
3261,Vegan thiamin supplement (B1),vegan,,2026-05-26T01:51:59.364959+00:00
3262,Vegan riboflavin supplement (B2),vegan,,2026-05-26T01:51:59.365061+00:00
3263,Vegan niacin supplement (B3),vegan,,2026-05-26T01:51:59.365161+00:00
3264,Vegan vitamin B6 supplement (pyridoxine),vegan,,2026-05-26T01:51:59.365259+00:00
3265,Vegan folate supplement (methylfolate),vegan,,2026-05-26T01:51:59.367601+00:00
3266,Vegan biotin supplement (B7),vegan,,2026-05-26T01:51:59.367758+00:00
3267,Vegan pantothenic acid supplement (B5),vegan,,2026-05-26T01:51:59.367908+00:00
3268,Vegan calcium supplement (calcium citrate),vegan,,2026-05-26T01:51:59.368040+00:00
3269,Vegan iron supplement (bisglycinate),vegan,,2026-05-26T01:51:59.368177+00:00
3270,Vegan zinc supplement (picolinate),vegan,,2026-05-26T01:51:59.368335+00:00
3271,Vegan magnesium supplement (citrate),vegan,,2026-05-26T01:51:59.368494+00:00
3272,Vegan selenium supplement (selenomethionine),vegan,,2026-05-26T01:51:59.368643+00:00
3273,Vegan copper supplement (gluconate),vegan,,2026-05-26T01:51:59.369889+00:00
3274,Vegan chromium supplement (picolinate),vegan,,2026-05-26T01:51:59.370049+00:00
3275,Vegan molybdenum supplement (sodium molybdate),vegan,,2026-05-26T01:51:59.370189+00:00
3276,Vegan potassium supplement (potassium chloride),vegan,,2026-05-26T01:51:59.370350+00:00
3277,Vegan ALA supplement (flaxseed oil),vegan,,2026-05-26T01:51:59.370487+00:00
3278,"Potato, white, baked, flesh and skin",vegan,,2026-05-26T01:51:59.370617+00:00
3279,"Abiyuch, raw",vegan,,2026-05-26T01:51:59.370748+00:00
3280,"Acerola juice, raw",vegan,,2026-05-26T01:51:59.370883+00:00
3281,"Acerola, (west indian cherry), raw",vegan,,2026-05-26T01:51:59.371016+00:00
3282,Acorn stew (Apache),ambiguous,,2026-05-26T01:51:59.371148+00:00
3283,"Agave, dried (Southwest)",vegan,,2026-05-26T01:51:59.371249+00:00
3284,"Agutuk, fish with shortening (Alaskan ice cream) (Alaska Native)",non_vegan,,2026-05-26T01:51:59.371452+00:00
3285,"Agutuk, fish/berry with seal oil (Alaskan ice cream) (Alaska Native)",non_vegan,,2026-05-26T01:51:59.371596+00:00
3286,"Agutuk, meat-caribou (Alaskan ice cream) (Alaska Native)",non_vegan,,2026-05-26T01:51:59.371730+00:00
3287,"Almond milk, unsweetened, plain, shelf stable",vegan,,2026-05-26T01:52:13.669021+00:00
3288,"Amaranth grain, cooked",vegan,,2026-05-26T01:52:13.669322+00:00
3289,"Amaranth grain, uncooked",vegan,,2026-05-26T01:52:13.669471+00:00
3290,"Amaranth leaves, cooked, boiled, drained, with salt",vegan,,2026-05-26T01:52:13.669627+00:00
3291,"Amaranth leaves, cooked, boiled, drained, without salt",vegan,,2026-05-26T01:52:13.669779+00:00
3292,"Amaranth leaves, raw",vegan,,2026-05-26T01:52:13.669924+00:00
3293,"Anchovies, canned in olive oil, with salt, drained",non_vegan,,2026-05-26T01:52:13.670068+00:00
3294,"Andrea's, Gluten Free Soft Dinner Roll",ambiguous,,2026-05-26T01:52:13.670225+00:00
3295,"Animal fat, bacon grease",non_vegan,,2026-05-26T01:52:13.671828+00:00
3296,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid",vegan,,2026-05-26T01:52:13.672009+00:00
3297,"Apple juice, canned or bottled, unsweetened, with added ascorbic acid, calcium, and potassium",vegan,,2026-05-26T01:52:13.672176+00:00
3298,"Apple juice, canned or bottled, unsweetened, without added ascorbic acid",vegan,,2026-05-26T01:52:13.678522+00:00
3299,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water without added ascorbic acid",vegan,,2026-05-26T01:52:13.678682+00:00
3300,"Apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",vegan,,2026-05-26T01:52:13.678826+00:00
3301,"Apple juice, frozen concentrate, unsweetened, undiluted, with added ascorbic acid",vegan,,2026-05-26T01:52:13.678955+00:00
3302,"Apple juice, frozen concentrate, unsweetened, undiluted, without added ascorbic acid",vegan,,2026-05-26T01:52:13.679519+00:00
3303,"Apple juice, with added vitamin C, from concentrate, shelf stable",vegan,,2026-05-26T01:52:13.679666+00:00
3304,"APPLEBEE'S, 9 oz house sirloin steak",non_vegan,,2026-05-26T01:52:13.679773+00:00
3305,"APPLEBEE'S, chicken tenders platter",non_vegan,,2026-05-26T01:52:13.679869+00:00
3306,"APPLEBEE'S, chicken tenders, from kids' menu",non_vegan,,2026-05-26T01:52:13.679971+00:00
3307,"APPLEBEE'S, chili",non_vegan,,2026-05-26T01:52:13.680067+00:00
3308,"APPLEBEE'S, coleslaw",non_vegan,,2026-05-26T01:52:13.680158+00:00
3309,"APPLEBEE'S, crunchy onion rings",non_vegan,,2026-05-26T01:52:13.680254+00:00
3310,"APPLEBEE'S, Double Crunch Shrimp",non_vegan,,2026-05-26T01:52:13.680383+00:00
3311,"APPLEBEE'S, fish, hand battered",non_vegan,,2026-05-26T01:52:13.680482+00:00
3312,"APPLEBEE'S, french fries",vegan,,2026-05-26T01:52:13.680571+00:00
3313,"APPLEBEE'S, KRAFT, Macaroni & Cheese, from kid's menu",non_vegan,,2026-05-26T01:52:13.680665+00:00
3314,"APPLEBEE'S, mozzarella sticks",non_vegan,,2026-05-26T01:52:13.680760+00:00
3315,"Apples, canned, sweetened, sliced, drained, heated",vegan,,2026-05-26T01:52:13.680867+00:00
3316,"Apples, dehydrated (low moisture), sulfured, stewed",vegan,,2026-05-26T01:52:13.680978+00:00
3317,"Apples, dehydrated (low moisture), sulfured, uncooked",vegan,,2026-05-26T01:52:13.681075+00:00
3318,"Apples, dried, sulfured, stewed, with added sugar",vegan,,2026-05-26T01:52:13.681161+00:00
3319,"Apples, dried, sulfured, stewed, without added sugar",vegan,,2026-05-26T01:52:13.681255+00:00
3320,"Apples, dried, sulfured, uncooked",vegan,,2026-05-26T01:52:13.681373+00:00
3321,"Apples, frozen, unsweetened, heated (Includes foods for USDA's Food Distribution Program)",vegan,,2026-05-26T01:52:13.681474+00:00
3322,"Apples, frozen, unsweetened, unheated (Includes foods for USDA's Food Distribution Program)",vegan,,2026-05-26T01:52:13.681575+00:00
3323,"Apples, fuji, with skin, raw",vegan,,2026-05-26T01:52:13.681672+00:00
3324,"Apples, gala, with skin, raw",vegan,,2026-05-26T01:52:13.681825+00:00
3325,"Apples, granny smith, with skin, raw",vegan,,2026-05-26T01:52:13.681969+00:00
3326,"Apples, honeycrisp, with skin, raw",vegan,,2026-05-26T01:52:13.682070+00:00
3327,"Apples, raw, fuji, with skin (Includes foods for USDA's Food Distribution Program)",vegan,,2026-05-26T01:52:13.682168+00:00
3328,"Apples, raw, gala, with skin (Includes foods for USDA's Food Distribution Program)",vegan,,2026-05-26T01:52:13.682258+00:00
3329,"Apples, raw, golden delicious, with skin",vegan,,2026-05-26T01:52:13.682380+00:00
3330,"Apples, raw, granny smith, with skin (Includes foods for USDA's Food Distribution Program)",vegan,,2026-05-26T01:52:13.682472+00:00
3331,"Apples, raw, red delicious, with skin (Includes foods for USDA's Food Distribution Program)",vegan,,2026-05-26T01:52:13.682574+00:00
3332,"Apples, raw, with skin (Includes foods for USDA's Food Distribution Program)",vegan,,2026-05-26T01:52:13.682705+00:00
3333,"Apples, raw, without skin",vegan,,2026-05-26T01:52:13.682824+00:00
3334,"Apples, raw, without skin, cooked, boiled",vegan,,2026-05-26T01:52:13.682935+00:00
3335,"Apples, raw, without skin, cooked, microwave",vegan,,2026-05-26T01:52:13.683036+00:00
3336,"Apples, red delicious, with skin, raw",vegan,,2026-05-26T01:52:13.683168+00:00
3337,"Tofu, firm, prepared with calcium sulfate",vegan,,2026-05-26T01:52:16.529819+00:00
3338,"Kale, raw",vegan,,2026-05-26T01:52:16.530073+00:00
3339,"Bok choy (Chinese cabbage), raw",vegan,,2026-05-26T01:52:16.530215+00:00
3340,"Lentils, cooked",vegan,,2026-05-26T01:52:16.530385+00:00
3341,"Spinach, raw",vegan,,2026-05-26T01:52:16.530503+00:00
3342,"Pumpkin seeds (pepitas), dried",vegan,,2026-05-26T01:52:16.530618+00:00
3343,"Nutritional yeast, fortified",vegan,,2026-05-26T01:52:16.530735+00:00
3344,"Soy milk, fortified",vegan,,2026-05-26T01:52:16.530867+00:00
3345,"Flaxseed, ground",vegan,,2026-05-26T01:52:16.530982+00:00
3346,Chia seeds,vegan,,2026-05-26T01:52:16.531083+00:00
3347,"Nori seaweed, dried",vegan,,2026-05-26T01:52:16.535358+00:00
3348,Brazil nuts,vegan,,2026-05-26T01:52:16.535519+00:00
3349,"Oats, rolled, dry",vegan,,2026-05-26T01:52:16.535627+00:00
3350,"Brown rice, cooked",vegan,,2026-05-26T01:52:16.535725+00:00
3351,"Quinoa, cooked",vegan,,2026-05-26T01:52:16.535826+00:00
3352,"Chickpeas (garbanzo beans), cooked",vegan,,2026-05-26T01:52:16.535930+00:00
3353,"Black beans, cooked",vegan,,2026-05-26T01:52:16.538602+00:00
3354,"Sweet potato, baked",vegan,,2026-05-26T01:52:16.538779+00:00
3355,"Broccoli, cooked",vegan,,2026-05-26T01:52:16.538891+00:00
3356,"Orange, raw",vegan,,2026-05-26T01:52:16.539447+00:00
3357,"Banana, raw",vegan,,2026-05-26T01:52:16.539629+00:00
3358,"Blueberries, raw",vegan,,2026-05-26T01:52:16.540206+00:00
3359,"Almonds, raw",vegan,,2026-05-26T01:52:16.540623+00:00
3360,"Walnuts, raw",vegan,,2026-05-26T01:52:16.540797+00:00
3361,Tempeh,vegan,,2026-05-26T01:52:16.541065+00:00
3362,"Edamame, shelled, cooked",vegan,,2026-05-26T01:52:16.541207+00:00
3363,"Spirulina, dried",vegan,,2026-05-26T01:52:16.541371+00:00
3364,"Nori, dried",vegan,,2026-05-26T01:52:16.541452+00:00
3365,"Wakame, dried",vegan,,2026-05-26T01:52:16.541515+00:00
3366,"Dulse, dried",vegan,,2026-05-26T01:52:16.541573+00:00
3367,Microalgae oil (Schizochytrium sp.),vegan,,2026-05-26T01:52:16.541693+00:00
3368,"Chlorella powder, dried",vegan,,2026-05-26T01:52:16.541758+00:00
3369,Broccoli,vegan,,2026-05-26T01:52:16.541836+00:00
3370,Brewer's yeast,vegan,,2026-05-26T01:52:16.541895+00:00
3371,Grape juice,vegan,,2026-05-26T01:52:16.541954+00:00
3372,"Black-eyed peas, cooked",vegan,,2026-05-26T01:52:16.542021+00:00
3373,"Lima beans, cooked",vegan,,2026-05-26T01:52:16.542077+00:00
3374,Cucumber,vegan,,2026-05-26T01:52:16.542135+00:00
3375,Iceberg Lettuce,vegan,,2026-05-26T01:52:16.542212+00:00
3376,Celery,vegan,,2026-05-26T01:52:16.542352+00:00
3377,"Carrot, raw",vegan,,2026-05-26T01:52:16.542430+00:00
3378,"Shiitake mushrooms, dried",vegan,,2026-05-26T01:52:16.542841+00:00
3379,Sunflower seeds,vegan,,2026-05-26T01:52:16.542952+00:00
3380,Rice bran,vegan,,2026-05-26T01:52:16.543048+00:00
3381,Almonds,vegan,,2026-05-26T01:52:16.543140+00:00
3382,"Sweet potatoes, cooked",vegan,,2026-05-26T01:52:16.543336+00:00
3383,"Lentils, dried",vegan,,2026-05-26T01:52:16.543460+00:00
3384,Vital wheat gluten (seitan),vegan,,2026-05-26T01:52:16.543554+00:00
3385,Vital wheat gluten (seitan flour),vegan,,2026-05-26T01:52:16.543682+00:00
3386,Soy protein isolate,vegan,,2026-05-26T01:52:16.543795+00:00
3387,"Applesauce, canned, sweetened, with salt",vegan,,2026-05-26T01:52:23.468313+00:00
3388,"Applesauce, canned, sweetened, without salt",vegan,,2026-05-26T01:52:23.468572+00:00
3389,"Applesauce, canned, unsweetened, with added ascorbic acid",vegan,,2026-05-26T01:52:23.468725+00:00
3390,"Applesauce, canned, unsweetened, without added ascorbic acid (Includes foods for USDA's Food Distribution Program)",vegan,,2026-05-26T01:52:23.468862+00:00
3391,"Applesauce, unsweetened, with added vitamin C",vegan,,2026-05-26T01:52:23.469021+00:00
3392,"Apricot nectar, canned, with added ascorbic acid",vegan,,2026-05-26T01:52:23.469169+00:00
3393,"Apricot, with skin, raw",vegan,,2026-05-26T01:52:23.469649+00:00
3394,"Apricots, canned, extra heavy syrup pack, without skin, solids and liquids",vegan,,2026-05-26T01:52:23.469794+00:00
3395,"Apricots, canned, extra light syrup pack, with skin, solids and liquids (Includes foods for USDA's Food Distribution Program)",vegan,,2026-05-26T01:52:23.469933+00:00
3396,"Apricots, canned, heavy syrup, drained",vegan,,2026-05-26T01:52:23.470084+00:00
3397,"Apricots, canned, juice pack, with skin, solids and liquids",vegan,,2026-05-26T01:52:23.470214+00:00
3398,"Apricots, canned, light syrup pack, with skin, solids and liquids",vegan,,2026-05-26T01:52:23.470398+00:00
3399,"Apricots, canned, water pack, with skin, solids and liquids",vegan,,2026-05-26T01:52:23.470542+00:00
3400,"Apricots, dehydrated (low-moisture), sulfured, stewed",vegan,,2026-05-26T01:52:23.470682+00:00
3401,"Apricots, dehydrated (low-moisture), sulfured, uncooked",vegan,,2026-05-26T01:52:23.470841+00:00
3402,"Apricots, dried, sulfured, stewed, with added sugar",vegan,,2026-05-26T01:52:23.470976+00:00
3403,"Apricots, dried, sulfured, stewed, without added sugar",vegan,,2026-05-26T01:52:23.471110+00:00
3404,"Apricots, dried, sulfured, uncooked",vegan,,2026-05-26T01:52:23.471252+00:00
3405,"Apricots, frozen, sweetened",vegan,,2026-05-26T01:52:23.471794+00:00
3406,"Apricots, raw",vegan,,2026-05-26T01:52:23.471931+00:00
3407,"ARBY'S, roast beef sandwich, classic",non_vegan,,2026-05-26T01:52:23.472061+00:00
3408,"Archway Home Style Cookies, Chocolate Chip Ice Box",non_vegan,,2026-05-26T01:52:23.472193+00:00
3409,"Archway Home Style Cookies, Coconut Macaroon",non_vegan,,2026-05-26T01:52:23.472365+00:00
3410,"Archway Home Style Cookies, Date Filled Oatmeal",non_vegan,,2026-05-26T01:52:23.472500+00:00
3411,"Archway Home Style Cookies, Dutch Cocoa",non_vegan,,2026-05-26T01:52:23.472629+00:00
3412,"Archway Home Style Cookies, Frosty Lemon",non_vegan,,2026-05-26T01:52:23.472759+00:00
3413,"Archway Home Style Cookies, Iced Oatmeal",non_vegan,,2026-05-26T01:52:23.472888+00:00
3414,"Archway Home Style Cookies, Oatmeal",non_vegan,,2026-05-26T01:52:23.473021+00:00
